,experiment_id,mouse_id,treatment_id,replica_id
0,RY20240607,4541,BCM,1
1,RY20240607,4541,BCM,2
2,RY20240607,4541,BCM,3
3,RY20240607,4541,BCM,4
4,RY20240607,4541,BCM,5
5,RY20240607,4541,BCM,6
6,RY20240607,4541,MSN,1
7,RY20240607,4541,MSN,2
8,RY20240607,4541,MSN,3
9,RY20240607,4541,MSN,4
10,RY20240607,4541,MSN,5
11,RY20240607,4541,MSN,6
12,RY20240607,4541,PGE2,1
13,RY20240607,4541,PGE2,2
14,RY20240607,4541,PGE2,3
15,RY20240607,4541,PGE2,4
16,RY20240607,4541,PGE2,5
17,RY20240607,4541,PGE2,6
18,RY20240608,4543,BCM,1
19,RY20240608,4543,BCM,2
20,RY20240608,4543,BCM,3
21,RY20240608,4543,BCM,4
22,RY20240608,4543,BCM,5
23,RY20240608,4543,BCM,6
24,RY20240608,4543,MSN,1
25,RY20240608,4543,MSN,2
26,RY20240608,4543,MSN,3
27,RY20240608,4543,MSN,4
28,RY20240608,4543,MSN,5
29,RY20240608,4543,MSN,6
30,RY20240608,4543,MSN,7
31,RY20240610,4543,dmPGE2,1
32,RY20240610,4543,dmPGE2,2
33,RY20240610,4543,dmPGE2,3
34,RY20240610,4543,dmPGE2,4
35,RY20240610,4543,dmPGE2,5
36,RY20240610,4543,PGE2,1
37,RY20240610,4543,PGE2,2
38,RY20240610,4543,PGE2,3
39,RY20240610,4543,PGE2,4
40,RY20240610,4543,PGE2,5
41,RY20240610,4543,PGE2,6
42,RY20240611,4541,BCM_60min,1
43,RY20240611,4541,BCM_60min,2
44,RY20240611,4541,BCM_60min,3
45,RY20240611,4541,BCM_60min,4
46,RY20240611,4544,BCM,1
47,RY20240611,4544,BCM,2
48,RY20240611,4544,BCM,3
49,RY20240611,4544,BCM,4
50,RY20240611,4544,BCM,5
51,RY20240611,4544,MSN,1
52,RY20240611,4544,MSN,2
53,RY20240611,4544,MSN,3
54,RY20240611,4544,MSN,4
55,RY20240611,4544,MSN,5
56,RY20240611,4544,PGE2,1
57,RY20240611,4544,PGE2,2
58,RY20240611,4544,PGE2,3
59,RY20240611,4544,PGE2,4
60,RY20240611,4544,PGE2,5
61,RY20240612,4541,BCM_60min,5
62,RY20240612,4541,BCM_60min,6
63,RY20240612,4541,MSN_60min,1
64,RY20240612,4541,MSN_60min,2
65,RY20240612,4541,MSN_60min,3
66,RY20240612,4541,MSN_60min,4
67,RY20240612,4541,MSN_60min,5
68,RY20240612,4541,MSN_60min,6
69,RY20240612,4541,PGE2_60min,1
70,RY20240612,4541,PGE2_60min,2
71,RY20240612,4541,PGE2_60min,3
72,RY20240612,4541,PGE2_60min,4
73,RY20240612,4541,PGE2_60min,5
74,RY20240612,4543,BCM_60min,1
75,RY20240612,4543,BCM_60min,2
76,RY20240612,4543,BCM_60min,3
77,RY20240613,4543,BCM_60min,4
78,RY20240613,4543,BCM_60min,5
79,RY20240613,4543,BCM_60min,6
80,RY20240613,4543,MSN_60min,1
81,RY20240613,4543,MSN_60min,1
82,RY20240613,4543,MSN_60min,2
83,RY20240613,4543,MSN_60min,3
84,RY20240613,4543,MSN_60min,4
85,RY20240613,4543,MSN_60min,5
86,RY20240613,4543,MSN_60min,6
87,RY20240614,4543,dmPGE2_60min,1
88,RY20240614,4543,dmPGE2_60min,2
89,RY20240614,4543,dmPGE2_60min,3
90,RY20240614,4543,dmPGE2_60min,4
91,RY20240614,4543,dmPGE2_60min,5
92,RY20240614,4543,PGE2_60min,1
93,RY20240614,4543,PGE2_60min,2
94,RY20240614,4543,PGE2_60min,1
95,RY20240614,4543,PGE2_60min,2
96,RY20240614,4543,PGE2_60min,3
97,RY20240614,4543,PGE2_60min,4
98,RY20240614,4543,PGE2_60min,5
99,RY20240618,4544,BCM_60min,1
100,RY20240618,4544,BCM_60min,2
101,RY20240618,4544,BCM_60min,3
102,RY20240618,4544,BCM_60min,4
103,RY20240618,4544,BCM_60min,5
104,RY20240618,4544,BCM_60min,6
105,RY20240618,4544,MSN_60min,1
106,RY20240618,4544,MSN_60min,2
107,RY20240619,4544,MSN_60min,3
108,RY20240619,4544,MSN_60min,4
109,RY20240619,4544,MSN_60min,5
110,RY20240619,4544,MSN_60min,6
111,RY20240619,4544,PGE2_60min,1
112,RY20240619,4544,PGE2_60min,2
113,RY20240619,4544,PGE2_60min,3
114,RY20240619,4544,PGE2_60min,4
115,RY20240619,4544,PGE2_60min,5
116,RY20240619,4544,PGE2_60min,6
