mouse_id,treatment_id,intensity_mean_nuclei,volume_nuclei,intensity_mean_cyto,volume_cyto,nuclei_cyto_ratio
4312,BCM,36.26691144589565,1345.7981611208406,29.749838570036555,1362.8449462096573,1.1572263427856533
4312,BCM_60min,45.976155879100546,1274.3011221945137,39.93323822686031,1446.021612635079,1.169906964913516
4312,MSN,42.718433405435555,1678.2201382033563,33.085798849169,1800.6862454754853,1.2892838186627895
4312,MSN_60min,43.239072815301554,1480.8435185185185,35.25100743190578,1769.499074074074,1.209677270574942
4312,PGE2,43.038549419995626,1997.590191051195,32.765207010076814,2095.9621205855597,1.3366727140019221
4312,PGE2_60min,44.54882472099415,1466.6304518664047,33.39640387671868,1832.6585461689588,1.3547741357862346
4385,BCM,50.49387029085347,1866.3607478655572,40.16654212099667,1979.8307575921324,1.269528087034468
4385,BCM_60min,86.1928915306321,1544.5388035569927,62.920299774975454,1921.1455133387228,1.4028468910846272
4385,MSN,29.723744752956033,1474.3408046440377,24.107532406431094,1488.2305893735386,1.2208133045214682
4385,MSN_60min,67.8875443990485,1587.1270226537217,51.40082695941909,1946.8519417475727,1.3378808093337797
4385,PGE2,34.17454848027008,1925.1810584958216,25.444516663453918,2006.5242339832869,1.3578071751227925
4385,PGE2_60min,57.88893406881194,1718.9891113452757,43.466451540476946,2098.3041798384265,1.325549189758132
4386,BCM,33.23006145227342,1347.3224728977439,29.398895069056028,1329.7920304717259,1.1220222251790382
4386,BCM_60min,74.76687973179736,1493.3197837837838,53.95197022047242,1947.967135135135,1.4128100401310424
4386,MSN,37.68321417643289,2058.224197623281,29.048011381414533,2029.4759053055113,1.3265060481617117
4386,MSN_60min,48.710098893962694,1621.0215633423181,38.57766652863103,1975.685616270522,1.264320173421524
4386,PGE2,37.83019527449837,2111.7217323651453,28.00054251960058,2326.8102956431535,1.3665326539548868
4386,PGE2_60min,58.02089161234413,1878.4874633669815,43.349936703200704,2363.1126668837514,1.3513165351680054
